Title,Name,Relationship,Date,Source
"Lamb Inn & Store, Yan Yean",Abbott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Morrells Junction, Mooroopna",Allen,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rose & Crown, Ballarat","Arthur, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial Hotel & Post Office & Store, Indigo","Ashdown, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Rupanyup","Ashmore, George Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Mansfield","Baldry, C C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Barkly","Barker, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Limerick Castle, Ballarat","Barney, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"McIvor, Maryborough","Barrett, Henry Harling",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Court House, Kyneton","Barry, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Bazley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Union, Ballarat","Beckman, H",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Coleraine, Coleraine","Bell, Richardson",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Standard, Linton",Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Red Bull, Ballarat",Bellinger,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dudley Castle, Ballarat",Bennett,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rokewood, Rokewood",Bennett,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat",Bentley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Horse, Ballarat","Betts, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cosomopolitan, Ballarat","Betts, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Windsor Arms, Ballarat","Bextream, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rainbow, Ballarat","Beyer, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"George, Ballarat","Bignall, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Avenal Arms, Hughes Creek","Bignell, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna",Birch,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Stawell","Blackburn, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Excelsior, Ballarat","Blackett, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Britannia, Ballarat","Blythen, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Euroa","De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bakery Hill, Ballarat","Bourke, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Portland","Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Merino Inn, Mosquito Flat","Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Soho, Ballarat","Bowes, Jessie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Blue Bell, St Arnaud","Box , Daniel",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Andrew, Ballarat","Boyd, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Copenhagen, Ballarat",Boyd & Prescott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lake Wallace, Edenhope","Boyton, Chas Robt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Liverpool Arms, Ballarat","Brabner, Cath",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carriers Arms, Craigieburn","Bradley, Edward",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Corduroy Bridge Hotel & P O, Clarendon","Bradshaw, Henry John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Consols, Ballarat","Brady, J E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grange Family, Hamilton",Brake,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Yards Inn, Alfredton","Brazenor, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Inverloch","Brook, Richard D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Rest, Warrnambool","Brooker, Chas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stag, Port Fairy","Brown, A J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Castle, Raspberry Creek","Brown, L Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British, Bowmans Forest","Brown, Thomas Hince",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marramingo, Genoa River","Buckland, B H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Ballan","Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Freemasons, Ballan","Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Quartz Miners, Stawell","Burnside, J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"London, Portland","Bush, Timothy",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seymour, Seymour","Butler, Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Caledonian, Yea","Cairns, John William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bay View, Portarlington","Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Family, Portarlington","Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Caligari,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Condah","Cameron, Ewan",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Green Hills","Cameron, Ewan",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Tri Bhean, Glen Watts",Cameron,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Beechworth","Carkeek, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Countess, Ballarat","Carroll, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Carroll,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West","Casement, Witt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Straffordshire Arms, Ballarat","Casey, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Hart, Ballarat","Chaplin, Dr",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Metropolitan, Castlemaine","Chapman, James",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carngham Inn, Carngham",Chepstowe,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat",Cherry,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Elephant & Castle, Ballarat",Chidlows,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Rupanyup","Claringbold, Jane Lilian",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Vine, Ballarat","Clark, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Roseberry, Roseberry","Clark, Robert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carriers Arms, Ballarat","Clarke, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ross Bridge, Rossbridge","Clarke, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"New Scotch, Ballarat","Cleaver, Fanny",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince Albert, Lockwood","Clements, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"La Mascotte, Castlemaine",Cleverly,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Waaia, Waaia","Cochran, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stag & Hound, Ballarat","Cochrane, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Scotchmans Arms, Ballarat","Collins, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, East Murchison","Collins, Rita Victoria",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victorian Alps, Macedon","Collins, Annie",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge, Dargo","Coloe, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards",Copperwaite,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Kyneton",Coulson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards",Coulthard,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clunes, Clunes North","Coundon, Ralph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dairy & Ice Works, Rushworth",Coyle,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Warrnambool, Warrnambool","Craig, John H",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Balaclava, Whroo","Crawford, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Wangaratta",Crisp,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Kyneton",Crocker,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Bacchus Marsh","Crooke, E J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Leura, Camperdown","Crosby, Thomas R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Crutchley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Fleece, Charlton","Curtin, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Benalla","Darmody, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Warrnambool","Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Western, Warrnambool","Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Red Hill",Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Barramunga",Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"All Nations, Red Hill",Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clarkes, Ballarat","Dawson, Eliiza",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shearers Arms, Newtown","Day, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ancient Briton, Ballarat","Day, A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Euroa","De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"King Parrot, Drouin South","Dempsey, William",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Belmont, Thomastown","Devine, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"North Eastern, Benalla","Dewane, E",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Baddaginnie","Dewart, John H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sale","Dickens, N",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Robin Hood, Drouin West ( Vic. -- Hotels -- Robin Hood","Dickson, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Kyneton","Dixon, D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Imperial, Ballarat","Dobbyn, F J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Victoria, Wangaratta","Dodsworth, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand Terminus, Bairnsdale","Donald, Thomas Frederick",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Donegans, Ballarat",Donegan,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Ballarat","Dooley, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Foresters Inn, Harrow","Doughney, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Rochester","Downey, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mt Egerton, Mount Egerton","Downey, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Myrniong, Myrniong","Druary, William F",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victorian, Byrneside","Dunn, Joseph L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand National, Ballarat","Dwyer, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Exchange, Foster","Edwards, L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lancefield Hotel & Store, Mooroopna",Elder,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Port Phillip, Ballarat","Emery, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way House, Ballarat","Fancy, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Ballarat","Farmer, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lillimur, Lillimur","Fay, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Sale","Feely, Michael",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand Terminus, Bairnsdale","Feinberg, Margaret Mary",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Ballarat","Finworth, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marysville, Marysville",Fisher,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Sale","Fitchett, R",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Bannockburn","Flahive, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fawn, Ballarat","Flannery, Norah",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Mortlake","Fogarty, Andrew",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Halfway House Hotel Store & Post Office, Carron","Franklin, Frederick",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British American, Maldon","Friedlieb, Rudolph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mansfield","Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Delatite, Mansfield","Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Northumberland, Ballarat",Gargan,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hodges Belle Vue, Daylesford",Glenlon,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pavilion, Ballarat","Gooden, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ship Inn, Ballarat","Gordon, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin Hotel & Post Office, Bullengarook","Gorman, William Sen",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Palace, Queenscliff","Greenwood, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grouts, Ballarat",Grout,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Live & Let Live, Barkers Creek",Harcourt,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Talbot, Barkers Creek",Harcourt,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Kyneton","Hardman, W R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Kyneton",Hardman,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Borough Boundary, Ballarat","Hargraves, E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Horse, Sebastian","Harritable, Frank",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West","Hart, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Merton","Hartley, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Archies Creek",Hayes,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Alexandra, Ballarat","Hazel, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock Hotel & Store, Mooroopna",Healey,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"View Point, Kyneton","Heath, Tom",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Kyneton","Heffernan, Roger",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bute, Ballarat","Heinz, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Westbury, Westbury","Hennessy, Mick",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Hickson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Narrung",Higgins,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Selecters Arms, Brandy Creek","Higgs, Richard",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Carngham","Hill, Preston",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rosherville, Metung","Hill, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna","Hockey, Tom",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Quartz Miners, Stawell","Hole, Isaac",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Somerset, Bannockburn",Holmes,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Barb, Newtown",Hood,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pack Horse, Ballarat","Hoskens, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Frankston, Mornington","Howard, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Washington, Ballarat","Hudson, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grange Family, Hamilton",Huntly,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Woods Point",Hurley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"John OGroat, Ballarat","Irwin, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Standard, Linton",Jackson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rokewood, Rokewood","James, C",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lubeck, Lubeck","Jamieson, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Rupanyup","Jamieson, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Ballarat","Jenkins, W A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna",Jennings,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Hamilton","Jewell, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Limerick, Ballarat","Johnson, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Lauriston",Johnston & Mrs,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Jones, St Arnaud","Jones, Edward",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
