Hotel_name,Hotel_city,Hotel_price
Lakeside Park Relax Cozy House 2mins to TownCentre,Melbourne,A$325 / night
Homely Getaways in Central Pakenham - Pet Friendly,Shire of Cardinia,A$322 / night
Entire house with unlimited WIFI and NETFLIX in the heart of Eastern Suburbs,Melbourne,A$408 / night
"Mineral Springs Log Cabin, near Daylesford",Shire of Moorabool,A$320 / night
BEAUTIFUL TERRACE HOUSE IN FABULOUS ALBERT PARK,Melbourne,A$608 / night
El Casa Rancho - Explore Melbourne from the leafy east!,Melbourne,A$260 / night
Hotel High Plains-Dinner Plain,Dinner Plain,A$168 / night
Gifford chalet dog friendly.,Harrietville,A$508 / night
Mulberry - Walk to MCG & Heart of Richmond,Melbourne,A$457 / night
Cadeau at Merrijig - The Base of Mount Buller,Merrijig,A$468 / night
"Chesterfield Ave, Malvern",Melbourne,"A$1,996 / night"
Trendy sweet home 3BR+1Study@Blackburn South,Melbourne,A$258 / night
Luxury Holiday House in the Inner City,Melbourne,A$867 / night
"Oxley, Port Melbourne",Melbourne,A$962 / night
Giant Apartment in an Amazing Location!,Melbourne,A$303 / night
Bristol House Accommodation UNIT,Maryborough (Victoria),A$179 / night
Eskipade Chalet - alpine-getaways,Dinner Plain,A$539 / night
"Albert Rd, South Melbourne",Melbourne,"A$3,366 / night"
Mawson 5 Family Apartment close to Ski School,Mt Buller,A$572 / night
Himalayinn - Ski lodge or Alpine retreat,Merrijig,A$827 / night
The Amazing Wiltshire of warehouse conversion!,Melbourne,A$259 / night
"Brunswick Getaway, walking distance to bars, cafes restaurants",Melbourne,A$165 / night
Torquay Surfcoast  Victoria,Torquay (Victoria),"A$1,567 / night"
D123 Super Sun Shine Stay,Melbourne,A$303 / night
CHENERY RETREAT Mansfield Accommodation,Mansfield (Victoria),A$334 / night
Twin Towers 302A - Luxury Accommodation on Mt Buller,Mt Buller,"A$1,247 / night"
Box Hill accommodation,Melbourne,A$154 / night
Sunny Sunday Getaway,Shire of Mitchell,A$203 / night
Special Melbourne retreat- relaxing fulfilling,Melbourne,A$302 / night
Quiet Comfortable Family House in Melbourne Great Ocean RdTourist stopover舒适独栋别墅,Melbourne,A$207 / night
Wirraway Farm-stay,Shire of Mitchell,A$134 / night
Carlton Room With a View - Car Park,Melbourne,A$135 / night
Fire & Ice - At the base of Mt Buller,Merrijig,A$414 / night
'The Houses Daylesford' Group Stay,Daylesford,"A$9,631 / night"
Alpine Edge Chalet - alpine-getaways,Dinner Plain,"A$1,368 / night"
Hawthorn Family Home with Large Space,Melbourne,A$396 / night
Delicate And Peaceful Bundoora Townhouse 12,Melbourne,A$340 / night
Helen's luxury hut,Victoria,A$63 / night
"Brighton Retreat, Brighton",Melbourne,"A$2,526 / night"
Murmeli Falls Creek,Falls Creek,A$183 / night
"Bright, Cozy and Relaxing home at Burwood East",Melbourne,A$259 / night
Gorgeous family retreat,Melbourne,A$247 / night
"Red Rock of Alvie- ""Aviemore"" heavenly and hidden retreat",Shire of Colac Otway,A$370 / night
"Modern, Spacious, 3 bedroom apartment with Views in the heart of the City",Melbourne,A$641 / night
Cozy Family House in Clyde 家庭温馨民宿,Melbourne,A$290 / night
Stay Belgravia -  9 bedroom house,Melbourne,A$678 / night
Hawthorn Holiday House,Melbourne,A$280 / night
Ski Break Luxury Chalet - Dinner Plain,Harrietville,A$849 / night
"Spacious, Lovely 4 Bed Room Family Home",Melbourne,A$357 / night
Boutique Stays - Brighton Abode,Melbourne,A$417 / night
Halen's hourse,Melbourne,A$75 / night
Corinella,Hepburn Shire,A$274 / night
Queens Lakeside Apartment,Melbourne,A$287 / night
Architectural Luxury Home - Premier location in Hawthorn,Melbourne,"A$1,471 / night"
New York Loft style apartment 4 km to CBD,Melbourne,A$318 / night
BLAIRGOWRIE GEM .....,Blairgowrie,"A$1,135 / night"
Melbourne Luxury Villa at Doncaster,Melbourne,A$398 / night
Tussie Mussie Vineyard Retreat Lodge,Merricks North,"A$1,697 / night"
Treetops Guesthouse Cottage @ Lochiel Accommodation,Melbourne,A$336 / night
Artsy Apartment CBD City Views and Balcony,Melbourne,A$280 / night
"Luxurious apartment at Hardware Lane, 3 Bed Gym Pool and many more",Melbourne,A$554 / night
Apple House Tarneit North,Victoria,A$85 / night
D103 Lemon tree house,Melbourne,A$232 / night
Classic 5 Beds Mt Dandenong Resort,Melbourne,"A$1,013 / night"
Waterfront grand villa — 245 Sanctuary Lakes South Blvd,Melbourne,A$538 / night
Hudson@Stockmans Mansfield Vic,Mansfield (Victoria),A$847 / night
D113 magnificent Marsden Garden City Stay,Melbourne,A$237 / night
Yes Holiday Home,Victoria,A$69 / night
Heart of Ormond Apartment by Ready Set Host,Melbourne,A$193 / night
Woody lifestyle one bedroom apartment,Olinda (Victoria),A$232 / night
Federation Square Apartments - Breathtaking View,Melbourne,A$311 / night
Studio 4 - Saint George Accommodation,Melbourne,A$99 / night
Chum Creek Hut,Shire of Yarra Ranges,A$350 / night
Sharpys Chalet - alpine-getaway Dinner Plain,Harrietville,A$865 / night
Goughs Tranquility - relax and enjoy the view,Goughs Bay,A$764 / night
MERINDA - minil & merinda chalets,Merrijig,A$527 / night
Summit Ridge Alpine Lodge,Falls Creek,A$216 / night
D119 Silver Birch Family Stay,Melbourne,A$295 / night
Spacious Lovely 5Beds home@Point Cook,Melbourne,A$266 / night
Inner City Oasis on Buckingham,Melbourne,A$305 / night
Alice Manor 3---New & Up market high quality,Melbourne,A$371 / night
The Blue Barn,Daylesford,A$252 / night
Best Western Fawkner Suites & Serviced Apartments,Melbourne,A$136 / night
"Malleson, Richmond, Luxico Group Pty Ltd",Melbourne,"A$1,146 / night"
Accommodation in Melbourne,Melbourne,A$362 / night
D114 Victorian Home Stay-close to city,Melbourne,A$234 / night
Toolebewang Farm Cottage,Shire of Yarra Ranges,A$234 / night
Madam Saddler - On Fraser Clunes,Hepburn Shire,A$272 / night
Eastern Hill Creswick,Creswick,A$138 / night
165 On Bogong,Ballarat,A$250 / night
Gravity Tower,Melbourne,A$199 / night
Koovelly Garden Studio,Daylesford,A$232 / night
Elizabethan Lodge,Melbourne,A$99 / night
Nook Melbourne Apartments : Sutherland Street - Melbourne CBD,Melbourne,A$262 / night
Space for all in Southbank - 3 Bedroom Apartment,Melbourne,A$244 / night
Apple House,Melbourne,A$69 / night
Blue Bird Chalet - alpine-getaways,Dinner Plain,A$506 / night
Gunyah Valley Retreat,City of Greater Bendigo,A$140 / night
The Castle @ The House of Windsor (all 3 levels),Melbourne,A$764 / night
Castlemaine Central Cabin & Van Park,Castlemaine,A$118 / night
"Ballarat's Victoriana, 1980’s Terrace home with wheelchair accessibility.",Ballarat,A$213 / night
Ballarat cottages incorporating yarrowee cottage and Admirals cottage,Ballarat,A$150 / night
The Garden Room,Daylesford,A$222 / night
The House of Windsor - Queens Loft,Melbourne,A$284 / night
Aparment Sky Home,Melbourne,A$251 / night
Poets Lodge Boutique Group Stays and Events,Daylesford,"A$2,224 / night"
The home is only 30 minutes from Melbourne Airport.,Shire of Macedon Ranges,A$202 / night
"Beaconsfield Villa, Saint Kilda",Melbourne,"A$7,149 / night"
"Stunning, Central Huge CBD Pad, free WiFi, Netflix",Melbourne,A$259 / night
Discovery Parks – Melbourne,Melbourne,A$115 / night
Melbourne Fitzroy Terrace,Melbourne,A$415 / night
RiverCottage-selfcontained,Marysville (Victoria),A$215 / night
Home away from home,Victoria,A$77 / night
Apple House Upper Point Cook,Melbourne,A$89 / night
Majella Chalet alpine-getaway,Dinner Plain,"A$1,674 / night"
Large Quiet Art Deco Apt Camberwell,Melbourne,A$200 / night
Airport Tourist Village Melbourne,Melbourne,A$77 / night
Homely Getaways - Eighth Street Mildura,Mildura VIC,A$797 / night
ELKHORN 17: Modern Family Accommodation - Mt Buller Village,Mt Buller,A$434 / night
D116 Heart of St Albans,Melbourne,A$235 / night
Mountain Mist Chalet alpine-getaways,Dinner Plain,A$895 / night
Exclusive Stays - Prima Tower,Melbourne,A$876 / night
Spencer Street Apartments,Melbourne,A$236 / night
Lake Hamilton Motor Village and Caravan Park,Hamilton (Victoria),A$139 / night
Apartments Of Waverley,Melbourne,A$154 / night
MARK 11 2W: Executive Accommodation - Mt. BULLER VILLAGE:,Mt Buller,A$631 / night
The Recovery Room with Luxury Indoor Spa,Dinner Plain,A$778 / night
Cloud 9 Alpine Lodge High Country Lodge,Dinner Plain,"A$1,467 / night"
Designer Decor Home with 8 Beds at Williams Landing,Melbourne,A$401 / night
Belle of Brighton East Spacious and Comfortable Family Home,Melbourne,A$561 / night
Lakeview On Sycamore,Melbourne,A$192 / night
Somerset on Elizabeth Melbourne,Melbourne,A$184 / night
Secret Cottage,Healesville,A$200 / night
Mornington Peninsula Retro Glamping,Rye (Victoria),A$173 / night
Melbourne Holiday Apartments Flinders Wharf,Melbourne,A$176 / night
MY80 Apartment located in the inner of Melbourne CBD,Melbourne,A$130 / night
Indulge Apartments - Langtree,Mildura VIC,A$174 / night
Orange Stay Apartments,Melbourne,A$201 / night
Apartments @ 57 City,Melbourne,A$157 / night
A big house for big group,Melbourne,A$293 / night
"MELBOURNE, Fitzroy, Sth Melbourne homes-4-5beds/2-5baths",Melbourne,A$604 / night
Park Avenue - IKON Glen Waverley,Melbourne,A$120 / night
Great Newly Built House Near Melbourne Airport,Melbourne,A$659 / night
Oaks Melbourne on Lonsdale Suites,Melbourne,A$120 / night
Indulge Homes - 77 Olive,Mildura VIC,A$660 / night
Delicate And Peaceful Bundoora Townhouse 20,Melbourne,A$340 / night
Alpine View Apartments - 12 share Deluxe,Falls Creek,"A$1,547 / night"
Francis Geelong 156 - Belmont 4 Bedroom,Greater Geelong City,A$436 / night
Daylesford Holiday Park,Daylesford,A$132 / night
De'Vine Escape,Shire of Yarra Ranges,A$182 / night
"Boutique Stays - Zinc 501, Port Melbourne",Melbourne,A$280 / night
Canvas Suites on A'beckett,Melbourne,A$159 / night
BIG4 Shepparton Park Lane Holiday Park,City of Greater Shepparton,A$158 / night
Country Getaway Neerim South,Shire of Baw Baw,A$226 / night
Mantra Lorne,Lorne,A$432 / night
Lovely home,Melbourne,A$159 / night
Luxury Beachfront House,Ocean Grove (Victoria),"A$2,550 / night"
Boutique Stays - South Yarra Lane,Melbourne,A$345 / night
Alexandra Tourist Park,Shire of Murrindindi,A$138 / night
Golden Country Motel and Caravan Park,Maryborough (Victoria),A$141 / night
Platinum City Serviced Apartments,Melbourne,A$177 / night
Accommodation Melbourne Empire,Melbourne,A$180 / night
Luxury Penthouse 3BDR Inner City  LRG Group  WIFI,Melbourne,"A$1,294 / night"
Barunah Plains Shearers Quarters Large groups sleeps 43 people in 16 rooms,Victoria,"A$2,247 / night"
"Alpine View Apartments - 12sh, Superior Deluxe",Falls Creek,"A$1,727 / night"
The Glen Family House,Melbourne,A$310 / night
Hideaway Valley Farm,Latrobe City,A$95 / night
Homely Getaways @ Swanston Square,Melbourne,A$237 / night
McKillop Geelong by Gold Star Stays,Geelong,A$163 / night
Triggerplant 1-DPA,Dinner Plain,A$145 / night
Silverleaf,Melbourne,A$136 / night
Frankie306,Melbourne,A$243 / night
CBD Little Paris - StayCentral,Melbourne,A$234 / night
Boutique Stays Sandyside- Sandringham Villa Units,Melbourne,A$280 / night
Boutique Stays - Carlton Terrace,Melbourne,A$280 / night
Boutique Stays - Buckingham,Melbourne,A$326 / night
A-Line Holiday Park,City of Greater Bendigo,A$91 / night
"Boutique Stays - Somerset Terrace, Townhouse in Richmond",Melbourne,A$290 / night
Heto's SnowGums 9,Dinner Plain,A$586 / night
"Boutique Stays - Vox Terrace, Prahran Apartment",Melbourne,A$244 / night
Lifestyle Villages Traralgon,Latrobe City,A$98 / night
Heart of Crown by Ready Set Host,Melbourne,A$361 / night
1008N Docklands 2 Bed Free Wifi #,Melbourne,A$354 / night
K2 Apartment 11:  Mt Buller Village Executive Apartment,Mt Buller,A$614 / night
Ski View 1: Funky Family Accommodation - Mt Buller Village,Mt Buller,A$516 / night
Bacarra Heritage Cottage - 2 bed heritage home in Geelong,Greater Geelong City,A$267 / night
Weathering Heights-Chalet In The High Country,Dinner Plain,A$497 / night
BIG4 Dandenong Tourist Park,Melbourne,A$150 / night
Northcote Hill - StayCentral,Melbourne,A$264 / night
Darcy's Cottage on Piper,Kyneton,A$394 / night
"Boutique Stays - The Residence, Brighton Luxury Apartment",Melbourne,A$381 / night
Insaa Serviced Apartments Dandenong,Dandenong,A$268 / night
Vineyard Retreat Mildura,Mildura,A$550 / night
Top Floor•Views•Yarraville•2 bedroom•2bathroom,Melbourne,A$246 / night
NGV Art Centre Retreat - StayCentral,Melbourne,A$270 / night
Boxhill民宿,Melbourne,A$58 / night
Cottage for 1 or 20 People,Capel Sound,"A$1,896 / night"
"Mimosa Heritage Cottage - 2 bedroom house, Geelong",Greater Geelong City,A$183 / night
Mansfield Holiday Park,Mansfield (Victoria),A$147 / night
COMPLETE HOST Coventry St Apartments,Melbourne,A$321 / night
A house in paradise.,Dromana,A$497 / night
"Boutique Stays - Melrose Terrace, Townhouse in North Melbourne",Melbourne,A$290 / night
Cottage By The Bay ---Quick Response 24/7,Melbourne,"A$1,501 / night"
Superb Luxe 5BR house@Point Cook near lake,Melbourne,A$251 / night
Your guest room in Keysborough,Melbourne,A$110 / night
NO CAR NEEDED-30metres BEACH/PUBS/RESTURANTS/SHOPS (Lots of secure parking),Melbourne,"A$1,169 / night"
Intimate small wedding venue for up to 30 guests.,Melbourne,"A$3,081 / night"
6 Bedrooms Right On The Beach- Cafes/Shops/Pubs 1 minute WALK!,Melbourne,"A$1,919 / night"
Warragul Gardens Holiday Park,Shire of Baw Baw,A$142 / night
Blairs-DPA,Dinner Plain,A$242 / night
Boutique Stays – Sandy Breeze 1,Melbourne,A$391 / night
BOUTIQUE STAYS - Gumflower,Melbourne,A$267 / night
StayCentral on Little Collins,Melbourne,A$282 / night
StayCentral on Lonsdale,Melbourne,A$299 / night
Boutique Stays - Victoria Road,Melbourne,A$427 / night
Convenience and luxury in Carnegie,Melbourne,A$338 / night
Brunswick Vibe - StayCentral,Melbourne,A$270 / night
Boutique Stays - The Veronica,Melbourne,A$495 / night
"Boutique Stays - Roxys Place, Prahran House",Melbourne,A$409 / night
Boutique Stays-Murrumbeena Place 1,Melbourne,A$381 / night
Boutique Stays - Elwood Hideaway,Melbourne,A$541 / night
StayCentral on Nott,Melbourne,A$270 / night
BOUTIQUE STAYS - Sandy Haven A,Melbourne,A$302 / night
London Park Resort,Melbourne,A$350 / night
Bright-DPA,Dinner Plain,A$214 / night
91 Stevenson Court,Yarrawonga,A$704 / night
Smoko,Dinner Plain,A$242 / night
Boutique Stays - Highviews,Melbourne,A$354 / night
Boutique Stays - Mentone Abode,Melbourne,A$400 / night
Quest Maribyrnong,Melbourne,A$149 / night
"Boutique Stays - Central Park, South Melbourne Townhouse",Melbourne,A$427 / night
Absinthe,Dinner Plain,A$458 / night
Double Bridges,Dinner Plain,A$400 / night
Belltrees,Dinner Plain,A$513 / night
Square Bear-DPA,Dinner Plain,A$444 / night
Spray Point Beach House: entertaining deck,Blairgowrie,"A$1,706 / night"
Classic 6BRM Villa in Melbourne,Melbourne,A$425 / night
Cottage by the Sea ---Quick response 24/7,Capel Sound,"A$1,514 / night"
Cozy charming and affordable,Melbourne,A$188 / night
Tooroonga Park - Yarra Valley,Shire of Yarra Ranges,A$331 / night
Wings Mt Eliza Private Guest House,Melbourne,A$172 / night
Comfortable and Lovely Bodkin Cottage - Room 1,Kyneton,A$204 / night
stand alone fully self contained spa cottage which accommodates 2 people,Melbourne,A$205 / night
The Garden House at elevation652 at Mt Bellevue,Rural City of Wangaratta,A$282 / night
Bed & Breakfast accommodation for 2 on a sheep farm,Shire of Southern Grampians,A$133 / night
Harvest Home Bed & Breakfast,City of Greater Shepparton,A$136 / night
Santa Fe Ranch - peaceful getaway,Tolmie,A$200 / night
"Heathcote Views with wifi , spabath & carport",Shire of Mitchell,A$512 / night
Overland 1 Train Carriage Codrington Gardens,Shire of Moyne,A$144 / night
Hideaway in the Hills ... MillDuck StrawBale B&B,City of Greater Bendigo,A$254 / night
"Josephine's Bed & Breakfast
Traditional in-home Bed & Breakfast",Melbourne,A$159 / night
Casa Valeri in Warburton,Warburton,A$414 / night
Fergusson Winery - Executive Suite,Shire of Yarra Ranges,A$224 / night
Couryard Chalet Codrington Gardens B&B,Shire of Moyne,A$133 / night
Settlers Delux Cottage Codrington Gardens B&B,Shire of Moyne,A$154 / night
Carlton Lygon Lodge  - Standard room,Melbourne,A$121 / night
BEACH ESCAPE ALTONA SPACIOUS 2BR 2CAR JUST 17KMS TO MELB CBD WALK TO THE BEACH,Melbourne,A$282 / night
Pet friendly - classic Country Motel Room near Murray,Shire of Moira,A$125 / night
kangaroo valley - wildlife,Shire of Moorabool,A$387 / night
"Hanging Rock, Wineries, Woodend, Country Getaway ,Bed and Breakfast.",Woodend,A$179 / night
"Gazebo Motor Inn -  Clean Motel Room  near Murray River,  Private Bathroom",Shire of Moira,A$83 / night
Nillahcootie Guesthouse -by Lake Nillahcootie,Rural City of Benalla,A$202 / night
Terminus Hotel Healesville,Healesville,A$182 / night
The Perfect Social Distancing Getaway,Arthurs Seat,"A$1,547 / night"
Hotel Style Rooms located in Bentleigh,Melbourne,A$175 / night
casa pizzini near the green,Rural City of Wangaratta,A$160 / night
The Mews - Charan Hills,Shire of Mitchell,A$205 / night
Santhosa - a uniquely designed B & B,Bass Coast Shire,A$193 / night
Camping with a bit of luxury,Shire of Northern Grampians,A$244 / night
The Pines Hepburn Springs,Hepburn,A$188 / night
The Canberra Hotel - a Luxury Art Deco Oasis,Ballarat,A$199 / night
The Oxley Estate B&B,Portarlington,A$253 / night
Austin Rise Bed and Breakfast,Heidelberg (Melbourne),A$170 / night
Adina Apartment Hotel Melbourne,Melbourne,A$161 / night
Leafield Cottages,Shire of Yarra Ranges,A$187 / night
Saladin Lodge,Narbethong,A$270 / night
Allawah Bendigo,Bendigo,A$125 / night
Caroline Serviced Apartments Brighton,Melbourne,A$225 / night
Quest Wodonga,Wodonga,A$128 / night
Blazing Stump Motel & Suites,Wodonga,A$165 / night
Lanbruk Richmond Hill,Melbourne,A$170 / night
Sandy Hill Serviced Apartments,Melbourne,A$339 / night
Carlton Lygon Lodge,Melbourne,A$126 / night
Lifestyle Apartments at Ferntree,Melbourne,A$157 / night
Tyrian Albert Park Lake,Melbourne,A$272 / night
Quest Burwood East,Melbourne,A$131 / night
Quest Sale,Shire of Wellington,A$134 / night
Avani Melbourne Box Hill Residences,Melbourne,A$165 / night
Vue Apartments Geelong,Geelong,A$227 / night
Quest Docklands,Melbourne,A$158 / night
Quest Sanctuary Lakes,Melbourne,A$179 / night
Bendigo Guesthouse,Bendigo,A$120 / night
Quest Flemington Central,Melbourne,A$135 / night
RNR Serviced Apartments North Melbourne,Melbourne,A$158 / night
Oaks Melbourne on Market Hotel,Melbourne,A$146 / night
Camberwell Serviced Apartments,Melbourne,A$175 / night
Quest Melbourne Airport,Melbourne,A$149 / night
Docklands Private Collection - Digital Harbour,Melbourne,A$129 / night
Quest Bundoora,Melbourne,A$140 / night
Quest Dandenong,Dandenong,A$156 / night
Quest Shepparton,City of Greater Shepparton,A$132 / night
Punthill South Yarra Grand,Melbourne,A$105 / night
Lovely Banks - Rest and Relax,Greater Geelong City,A$87 / night
Punthill Dandenong,Dandenong,A$60 / night
Quest St Kilda Bayside,Melbourne,A$171 / night
Aligning Health Retreat & Day Spa,City of Greater Bendigo,"A$1,173 / night"
Mountain View Holiday Retreat,Harrietville,"A$1,381 / night"
District Apartments Fitzroy,Melbourne,A$225 / night
Comfort Inn & Apartments Dandenong,Dandenong,A$146 / night
Park Regis Griffin Suites,Melbourne,A$129 / night
HarbourView Apartment Hotel (now Arrow on Spencer),Melbourne,A$147 / night
Clocktower Apartment Hotel,Melbourne,A$165 / night
Collins Hotel,Melbourne,A$158 / night
Sixty Two On Grey Serviced Apartments,Melbourne,A$145 / night
Beaumont Kew Apartments,Melbourne,A$95 / night
Knox International Hotel and Apartments,Melbourne,A$142 / night
YTI Garden Hotel,Melbourne,A$104 / night
Milano Serviced Apartments,Melbourne,A$119 / night
Quest Preston,Melbourne,A$148 / night
Barkly Apartments,Melbourne,A$149 / night
The Sebel Residences Melbourne Docklands,Melbourne,A$194 / night
Summer Inn Holiday Apartments,Melbourne,A$200 / night
CBD Victoria Harbour Service Apartments,Melbourne,A$421 / night
Clunes Guest Home,Hepburn Shire,A$140 / night
Terang Boutique Stay,Corangamite,A$96 / night
Redan Apartments,Melbourne,A$85 / night
