Council,City
AlpineS,Abbeyard
YarraC,Abbotsford
MooneeValleyC,Aberfeldie
BawBawS,Aberfeldy
MurrindindiS,Acheron
BawBawS,Ada
BassCoastS,AdamsEstate
BallaratC,Addington
CentralGoldfieldsS,AdelaideLead
SouthGippslandS,Agnes
YarriambiackS,Ailsa
ColacOtwayS,AireValley
SurfCoastS,AireysInlet
WellingtonS,Airly
MooneeValleyC,AirportWest
HindmarshS,Albacutya
YarriambiackS,Albacutya
BrimbankC,Albanvale
PortPhillipC,AlbertPark
WellingtonS,Alberton
WellingtonS,AlbertonWest
BrimbankC,Albion
MurrindindiS,Alexandra
BallaratC,Alfredton
BawBawS,Allambee
BawBawS,AllambeeReserve
SthGippslandS,AllambeeReserve
BawBawS,AllambeeSouth
SouthGippslandS,AllambeeSouth
IndigoS,AllansFlat
MoyneS,Allansford
WarrnamboolC,Allansford
HepburnS,Allendale
GlenelgS,Allestree
CentralGoldfieldsS,Alma
MoiraS,Almonds
BassCoastS,Almurta
DarebinC,Alphington
YarraC,Alphington
HobsonsBayC,Altona
HobsonsBayC,AltonaEast
HobsonsBayC,AltonaMeadows
HobsonsBayC,AltonaNorth
ColacOtwayS,Alvie
CorangamiteS,Alvie
CentralGoldfieldsS,Amherst
BawBawS,Amor
PyreneesS,Amphitheatre
GoldenPlainsS,Anakie
GreaterGeelongC,Anakie
MansfieldS,Ancona
BassCoastS,Anderson
YarriambiackS,Angip
EastGippslandS,AnglersRest
SurfCoastS,Anglesea
SwanHillRC,Annuello
HindmarshS,Antwerp
ColacOtwayS,ApolloBay
GannawarraS,Appin
GannawarraS,AppinPark
GannawarraS,AppinSouth
LoddonS,AppinSouth
WestWimmeraS,Apsley
HorshamRC,Arapiles
AraratRC,Ararat
SouthGippslandS,Arawata
WellingtonS,Arbuckle
GreaterSheppartonC,Arcadia
StrathbogieS,ArcadiaSouth
CentralGoldfieldsS,Archdale
NorthernGrampiansS,Archdale
CentralGoldfieldsS,ArchdaleJunction
NthnGrampiansS,ArchdaleJunction
BenallaRC,Archerton
WangarattaRC,Archerton
BassCoastS,ArchiesCreek
BrimbankC,Ardeer
GreaterSheppartonC,Ardmona
YarriambiackS,Areegra
GreaterBendigoC,Argyle
StonningtonC,Armadale
AraratRC,Armstrong
LoddonS,Arnold
LoddonS,ArnoldWest
NillumbikS,ArthursCreek
MorningtonPenS,ArthursSeat
BallaratC,Ascot
GreaterBendigoC,Ascot
MooneeValleyC,AscotVale
MacedonRangesS,Ashbourne
BoroondaraC,Ashburton
MonashC,Ashwood
KingstonC,Aspendale
KingstonC,AspendaleGardens
BawBawS,Athlone
HumeC,Attwood
YarriambiackS,Aubrey
BoroondaraC,Auburn
BoroondaraC,AuburnSouth
LoddonS,Auchmore
GreaterGeelongC,Avalon
MitchellS,Avenel
StrathbogieS,Avenel
PyreneesS,Avoca
NorthernGrampiansS,AvonPlains
MooneeValleyC,AvondaleHeights
GreaterBendigoC,Avonmore
CardiniaS,Avonsleigh
GreaterBendigoC,AxeCreek
GreaterBendigoC,Axedale
CorangamiteS,Ayrford
MoyneS,Ayrford
MooraboolS,BacchusMarsh
BenallaRC,Baddaginnie
StrathbogieS,Baddaginnie
YarraRangesS,BadgerCreek
GannawarraS,BaelBael
GreaterBendigoC,Bagshot
GreaterBendigoC,BagshotNorth
GlenelgS,Bahgallah
StrathbogieS,Bailieston
EastGippslandS,Bairnsdale
EastGippslandS,BairnsdaleEast
BallaratC,BakeryHill
PortPhillipC,Balaclava
BallaratC,BaldHills
HepburnS,BaldHills
ColacOtwayS,Balintore
MooraboolS,Ballan
MoyneS,Ballangeich
BulokeS,Ballapur
BallaratC,Ballarat
BallaratC,BallaratEast
CampaspeS,Ballendella
GreaterGeelongC,Balliang
MooraboolS,Balliang
MooraboolS,BalliangEast
AraratRC,Ballyrogan
PyreneesS,Ballyrogan
StrathbogieS,Balmattum
SouthernGrampiansS,Balmoral
MorningtonPeninsulaS,Balnarring
MorningtonPenS,BalnarringBeach
LatrobeC,Balook
WellingtonS,Balook
BoroondaraC,Balwyn
BoroondaraC,BalwynNorth
WhitehorseC,BalwynNorth
CampaspeS,Bamawm
CampaspeS,BamawmExtension
SurfCoastS,Bambra
GoldenPlainsS,Bamganie
WodongaRC,Bandiana
YarriambiackS,Bangerang
GreaterDandenongC,Bangholme
SwanHillRC,Bannerton
GoldenPlainsS,Bannockburn
BulokeS,Banyan
NorthernGrampiansS,Banyena
BulokeS,Banyenong
WodongaRC,Baranduda
GreaterGeelongC,Bareena
MountAlexanderS,Barfold
MountAlexanderS,Baringhup
MountAlexanderS,BaringhupWest
BenallaRC,Barjarg
MansfieldS,Barjarg
MountAlexanderS,BarkersCreek
NorthernGrampiansS,Barkly
PyreneesS,Barkly
MooraboolS,Barkstead
MoiraS,Barmah
GreaterBendigoC,Barnadown
IndigoS,Barnawartha
WodongaRC,BarnawarthaNorth
SouthGippslandS,Baromi
ColacOtwayS,Barongarook
ColacOtwayS,BarongarookWest
SurfCoastS,Barrabool
BulokeS,Barrakee
ColacOtwayS,Barramunga
LoddonS,Barraport
LoddonS,BarraportWest
MooraboolS,BarrysReef
GoldenPlainsS,BarunahPark
AlpineS,Barwidgee
MansfieldS,Barwite
ColacOtwayS,BarwonDowns
GreaterGeelongC,BarwonHeads
HepburnS,Basalt
BassCoastS,Bass
GoldenPlainsS,Batesford
GreaterGeelongC,Batesford
MoiraS,Bathumi
MorelandC,Batman
BawBawS,BawBaw
BawBawS,BawBawVillage
MorningtonPeninsulaS,Baxter
AraratRC,Bayindeen
CardiniaS,Bayles
MacedonRangesS,Baynton
MacedonRangesS,BayntonEast
KnoxC,Bayswater
MaroondahC,BayswaterNorth
CardiniaS,Beaconsfield
CaseyC,Beaconsfield
CardiniaS,BeaconsfieldUpper
CentralGoldfieldsS,Bealiba
LoddonS,Bealiba
MoiraS,Bearii
LoddonS,BearsLagoon
GannawarraS,Beauchamp
SwanHillRC,Beauchamp
PyreneesS,Beaufort
BaysideC,Beaumaris
NthnGrampiansS,BeazleysBridge
ColacOtwayS,Beeac
ColacOtwayS,BeechForest
IndigoS,Beechworth
YarraRangesS,Beenak
YarraRangesS,Belgrave
YarraRangesS,BelgraveHeights
YarraRangesS,BelgraveSouth
GreaterGeelongC,BellPark
GreaterGeelongC,BellPostHill
GreaterGeelongC,Bellarine
EastGippslandS,BellbirdCreek
SurfCoastS,Bellbrae
TowongS,Bellbridge
NorthernGrampiansS,Bellellen
BanyuleC,Bellfield
NorthernGrampiansS,Bellfield
SouthernGrampiansS,Bellfield
SurfCoastS,BellsBeach
GreaterGeelongC,Belmont
EastGippslandS,BemmRiver
SouthGippslandS,Bena
BenallaRC,Benalla
EastGippslandS,Benambra
WestWimmeraS,Benayeo
NillumbikS,BendofIslands
GreaterBendigoC,Bendigo
GreaterBendigoC,BendigoEast
GreaterBendigoC,BendigoNorth
GreaterBendigoC,BendigoWest
EastGippslandS,Bendoc
EastGippslandS,Bengworden
GannawarraS,Benjeroop
MacedonRangesS,Benloch
WhitehorseC,Bennettswood
SouthGippslandS,Bennison
GlenEiraC,Bentleigh
GlenEiraC,BentleighEast
SurfCoastS,Benwerrin
MooraboolS,Beremboke
LoddonS,Berrimal
GoldenPlainsS,Berringa
TowongS,Berringama
BulokeS,Berriwillock
CorangamiteS,Berrybank
GoldenPlainsS,Berrybank
SouthGippslandS,BerrysCreek
CaseyC,Berwick
GlenelgS,Bessiebelle
MoyneS,Bessiebelle
CentralGoldfieldsS,BetBet
EastGippslandS,BeteBolong
EastGippslandS,BeteBolongNorth
TowongS,Bethanga
CentralGoldfieldsS,Betley
YarriambiackS,Beulah
SwanHillRC,Beverford
MitchellS,Beveridge
WhittleseaC,Beveridge
HindmarshS,BigDesert
MilduraRC,BigDesert
WestWimmeraS,BigDesert
GreaterBendigoC,BigHill
SurfCoastS,BigHill
YarraRangesS,BigPatsCreek
TowongS,Biggara
WellingtonS,Billabong
BulokeS,Bimbourie
EastGippslandS,Bindi
SouthGippslandS,Binginwarri
WellingtonS,Binginwarri
EastGippslandS,BingoMunji
BulokeS,Birchip
BulokeS,BirchipWest
MilduraRC,Birdwoodton
ColacOtwayS,Birregurra
SurfCoastS,Birregurra
MorningtonPeninsulaS,Bittern
BallaratC,BlackHill
AraratRC,BlackRange
NorthernGrampiansS,BlackRange
BaysideC,BlackRock
WhitehorseC,Blackburn
WhitehorseC,BlackburnNorth
WhitehorseC,BlackburnSouth
HorshamRC,Blackheath
WellingtonS,Blackwarry
MooraboolS,Blackwood
BassCoastS,BlackwoodForest
HepburnS,BlackwoodNorth
MorningtonPeninsulaS,Blairgowrie
MooraboolS,Blakeville
HepburnS,Blampied
CaseyC,BlindBight
BallaratC,Blowhard
BallaratC,BoPeep
PyreneesS,BoPeep
WangarattaRC,Bobinawarrah
SouthernGrampiansS,Bochara
AlpineS,Bogong
StrathbogieS,Boho
BenallaRC,BohoSouth
StrathbogieS,BohoSouth
BulokeS,Boigbeat
MilduraRC,Boinka
WellingtonS,Boisdale
NorthernGrampiansS,Bolangum
MacedonRangesS,Bolinda
SwanHillRC,Bolton
GlenelgS,Bolwarra
MooraboolS,Bolwarrah
BawBawS,BonaVista
EastGippslandS,Bonang
KingstonC,Bonbeach
WodongaRC,Bonegilla
MorningtonPeninsulaS,Boneo
BenallaRC,BonnieDoon
MansfieldS,BonnieDoon
BallaratC,Bonshaw
CorangamiteS,Bookaar
BawBawS,Boola
LatrobeC,Boola
SouthGippslandS,Boolarong
LatrobeC,Boolarra
SouthGippslandS,Boolarra
LatrobeC,BoolarraSouth
SouthGippslandS,BoolarraSouth
EastGippslandS,BoolePoole
YarriambiackS,Boolite
MoiraS,Boomahnoomoonah
SurfCoastS,Boonah
CorangamiteS,Boorcan
WangarattaRC,Boorhaman
WangarattaRC,BoorhamanEast
WangarattaRC,BoorhamanNorth
MansfieldS,Boorolite
SouthGippslandS,Boorool
LoddonS,Boort
MoiraS,Boosey
WangarattaRC,Boralma
AraratRC,BornesHill
KnoxC,Boronia
LoddonS,Borung
CorangamiteS,BostockCreek
SwanHillRC,BoundaryBend
CentralGoldfieldsS,Bowenvale
BenallaRC,Boweya
WangarattaRC,Boweya
MoiraS,BoweyaNorth
WangarattaRC,BowmansForest
WangarattaRC,Bowser
WhitehorseC,BoxHill
WhitehorseC,BoxHillNorth
WhitehorseC,BoxHillSouth
BenallaRC,Boxwood
GreaterSheppartonC,Boxwood
MountAlexanderS,Bradford
CorangamiteS,Bradvale
KingstonC,Braeside
GreaterSheppartonC,Branditt
BawBawS,BrandyCreek
GlenelgS,Branxholme
SouthernGrampiansS,Branxholme
BawBawS,Bravington
MaribyrnongC,Braybrook
GlenelgS,BreakawayCreek
GreaterGeelongC,Breakwater
MoyneS,BreakwaterCreek
GreaterGeelongC,Breamlea
SurfCoastS,Breamlea
LoddonS,Brenanah
PyreneesS,Brewster
WellingtonS,Briagolong
BanyuleC,BriarHill
NillumbikS,BriarHill
BenallaRC,BridgeCreek
MansfieldS,BridgeCreek
NorthernGrampiansS,BridgeInn
LoddonS,Bridgewater
LoddonS,BridgewaterNorth
LoddonS,BridgewateronLondon
AlpineS,Bright
BaysideC,Brighton
BaysideC,BrightonEast
GlenEiraC,BrightonEast
YarriambiackS,Brim
GlenelgS,Brimboal
IndigoS,Brimin
HorshamRC,Brimpaen
NorthernGrampiansS,Brimpaen
WestWimmeraS,Bringalbert
SouthernGrampiansS,BritBrit
MitchellS,Broadford
EastGippslandS,Broadlands
HumeC,Broadmeadows
MoyneS,Broadwater
EastGippslandS,BrodribbRiver
BenallaRC,BrokenCreek
CentralGoldfieldsS,Bromley
MeltonS,Brookfield
BrimbankC,Brooklyn
HobsonsBayC,Brooklyn
MaribyrnongC,Brooklyn
EastGippslandS,Brookville
HepburnS,Broomfield
HindmarshS,Broughton
WestWimmeraS,Broughton
BallaratC,BrownHill
IndigoS,BrownsPlains
IndigoS,Bruarong
WhittleseaC,BrucesCreek
CorangamiteS,Brucknell
MoyneS,Brucknell
MorelandC,Brunswick
MorelandC,BrunswickEast
MorelandC,BrunswickWest
EastGippslandS,Bruthen
AraratRC,Buangor
PyreneesS,Buangor
EastGippslandS,Buchan
EastGippslandS,BuchanSouth
AlpineS,Buckland
SurfCoastS,Buckley
SthnGrampiansS,BuckleySwamp
BulokeS,Buckrabanyule
LoddonS,Buckrabanyule
WellingtonS,BudgeeBudgee
LatrobeC,Budgeree
GannawarraS,BudgerumEast
SouthGippslandS,Buffalo
AlpineS,BuffaloCreek
AlpineS,BuffaloRiver
SouthernGrampiansS,Bulart
EastGippslandS,Buldah
SwanHillRC,Bulga
NorthernGrampiansS,Bulgana
HumeC,Bulla
CorangamiteS,Bullaharre
HepburnS,Bullarook
MooraboolS,Bullarook
HepburnS,Bullarto
HepburnS,BullartoSouth
MooraboolS,BullartoSouth
ManninghamC,Bulleen
MacedonRangesS,Bullengarook
TowongS,Bullioh
EastGippslandS,Bullumwaal
BawBawS,BulnBuln
BawBawS,BulnBulnEast
EastGippslandS,Bumberrah
GreaterSheppartonC,Bunbartha
WellingtonS,Bundalaguah
MoiraS,Bundalong
MoiraS,BundalongSouth
EastGippslandS,Bundara
MooraboolS,Bunding
BanyuleC,Bundoora
DarebinC,Bundoora
WhittleseaC,Bundoora
CentralGoldfieldsS,BungBong
PyreneesS,BungBong
ColacOtwayS,Bungador
MooraboolS,Bungal
HorshamRC,Bungalally
MooraboolS,Bungaree
BenallaRC,Bungeet
BenallaRC,BungeetWest
TowongS,Bungil
BulokeS,Bunguluke
BallaratC,Buninyong
MooraboolS,Buninyong
BallaratC,BunkersHill
CardiniaS,Bunyip
CardiniaS,BunyipNorth
WellingtonS,Buragwonduc
GannawarraS,BurkesBridge
LoddonS,BurkesFlat
PyreneesS,Burnbank
CampaspeS,Burnewang
YarraC,Burnley
MeltonS,Burnside
MeltonS,BurnsideHeights
MoiraS,Burramine
MoiraS,BurramineSouth
TowongS,Burrowyne
BallaratC,Burrumbeet
PyreneesS,Burrumbeet
BoroondaraC,Burwood
MonashC,Burwood
WhitehorseC,Burwood
WhitehorseC,BurwoodEast
MoyneS,Bushfield
WarrnamboolC,Bushfield
WellingtonS,BushyPark
EastGippslandS,ButchersRidge
MurrindindiS,Buxton
GlenelgS,Byaduk
MoyneS,Byaduk
SouthernGrampiansS,Byaduk
SthnGrampiansS,ByadukNorth
WangarattaRC,Byawatha
MacedonRangesS,Bylands
MitchellS,Bylands
GreaterSheppartonC,Byrneside
EastGippslandS,Cabanandra
MilduraRC,Cabarita
HepburnS,CabbageTree
EastGippslandS,CabbageTreeCreek
BrimbankC,Cairnlea
BrimbankC,CalderPark
CardiniaS,Caldermeade
GreaterBendigoC,CaliforniaGully
LoddonS,Calivil
NorthernGrampiansS,Callawadda
LatrobeC,Callignee
WellingtonS,CalligneeNorth
WellingtonS,CalligneeSouth
WellingtonS,Calrossie
EastGippslandS,Calulu
YarraRangesS,Cambarville
BoroondaraC,Camberwell
BoroondaraC,CamberwellEast
GoldenPlainsS,CambrianHill
CampaspeS,CampaspeWest
HumeC,Campbellfield
NthnGrampiansS,CampbellsBridge
MtAlexanderS,CampbellsCreek
LoddonS,CampbellsForest
CentralGoldfieldsS,Campbelltown
HepburnS,Campbelltown
MountAlexanderS,Campbelltown
CorangamiteS,Camperdown
BallaratC,Canadian
LoddonS,CanaryIsland
GreaterSheppartonC,Caniambo
EastGippslandS,CannRiver
GannawarraS,Cannie
CaseyC,CannonsCreek
YarriambiackS,Cannum
BoroondaraC,Canterbury
GlenelgS,CapeBridgewater
GoldenPlainsS,CapeClear
EastGippslandS,CapeConran
ColacOtwayS,CapeOtway
BassCoastS,CapePaterson
MorningtonPenS,CapeSchanck
BassCoastS,CapeWoolamai
GannawarraS,CapelsCrossing
CampaspeS,CaragCarag
CentralGoldfieldsS,Caralulup
MoyneS,Caramut
SouthernGrampiansS,Caramut
NorthernGrampiansS,Carapooee
NthnGrampiansS,CarapooeeWest
GlenelgS,Carapook
SouthernGrampiansS,Carapook
WangarattaRC,Carboor
BallaratC,Cardigan
BallaratC,CardiganVillage
CardiniaS,Cardinia
MilduraRC,Cardross
MooraboolS,Cargerie
MilduraRC,Carina
BawBawS,Caringal
CentralGoldfieldsS,Carisbrook
MountAlexanderS,Carisbrook
ColacOtwayS,CarlisleRiver
CorangamiteS,CarlisleRiver
MacedonRangesS,Carlsruhe
MelbourneC,Carlton
MelbourneC,CarltonNorth
YarraC,CarltonNorth
IndigoS,Carlyle
GlenEiraC,Carnegie
PyreneesS,Carngham
MeltonS,CarolineSprings
ColacOtwayS,Carpendeit
CorangamiteS,Carpendeit
WellingtonS,Carrajung
WellingtonS,CarrajungLower
WellingtonS,CarrajungSouth
AraratRC,Carranballac
PyreneesS,Carranballac
BulokeS,Carron
KingstonC,Carrum
FrankstonC,CarrumDowns
MilduraRC,Carwarp
GlenelgS,Cashmore
EastGippslandS,Cassilis
MurrindindiS,Castella
GlenelgS,Casterton
WodongaRC,CastleCreek
SwanHillRC,CastleDonnington
WellingtonS,Castleburn
MountAlexanderS,Castlemaine
CardiniaS,Catani
AraratRC,Cathcart
MurrindindiS,Cathkin
LoddonS,Catumnal
GlenEiraC,Caulfield
GlenEiraC,CaulfieldEast
GlenEiraC,CaulfieldNorth
GlenEiraC,CaulfieldSouth
MurrindindiS,Caveat
SouthernGrampiansS,Cavendish
GreaterGeelongC,Ceres
MonashC,Chadstone
EastGippslandS,ChandlersCreek
BallaratC,ChapelFlat
ColacOtwayS,ChappleVale
CorangamiteS,ChappleVale
WestWimmeraS,Charam
IndigoS,Charleroi
BulokeS,Charlton
AraratRC,Chatsworth
MoyneS,Chatsworth
KingstonC,Chelsea
KingstonC,ChelseaHeights
BaysideC,Cheltenham
KingstonC,Cheltenham
PyreneesS,Chepstowe
MacedonRangesS,Cherokee
WellingtonS,Cherrilong
NorthernGrampiansS,Cherrypool
SouthernGrampiansS,Cherrypool
WangarattaRC,Cheshunt
WangarattaRC,CheshuntSouth
BenallaRC,ChesneyVale
GlenelgS,Chetwynd
WestWimmeraS,Chetwynd
MurrindindiS,Cheviot
MountAlexanderS,Chewton
MtAlexanderS,ChewtonBushlands
BawBawS,Childers
SwanHillRC,Chillingollah
IndigoS,Chiltern
IndigoS,ChilternValley
SwanHillRC,Chinangin
SwanHillRC,Chinkapook
MacedonRangesS,Chintin
YarraRangesS,ChirnsidePark
BulokeS,Chirrup
CorangamiteS,Chocolyn
WellingtonS,Christies
NillumbikS,ChristmasHills
YarraRangesS,ChumCreek
LatrobeC,Churchill
BassCoastS,ChurchillIsland
PyreneesS,Chute
MooraboolS,Clarendon
MooraboolS,Claretown
KingstonC,Clarinda
HumeC,Clarkefield
MacedonRangesS,Clarkefield
MooraboolS,ClarkesHill
MonashC,Clayton
KingstonC,ClaytonSouth
HorshamRC,ClearLake
CardiniaS,Clematis
YarraRangesS,Clematis
EastGippslandS,CliftonCreek
YarraC,CliftonHill
GreaterGeelongC,CliftonSprings
MitchellS,Clonbinane
GlenelgS,CloverFlat
SouthernGrampiansS,CloverFlat
BawBawS,Cloverlea
EastGippslandS,ClubTerrace
HepburnS,Clunes
CaseyC,Clyde
CaseyC,ClydeNorth
WellingtonS,Clydebank
HepburnS,Clydesdale
BawBawS,Coalville
GlenEiraC,Coatesville
WellingtonS,Cobains
MacedonRangesS,Cobaw
EastGippslandS,Cobbannah
EastGippslandS,Cobberas
CorangamiteS,Cobden
MoiraS,Cobram
MoiraS,CobramEast
CorangamiteS,Cobrico
AlpineS,Cobungra
EastGippslandS,Cobungra
DarebinC,Coburg
MorelandC,Coburg
DarebinC,CoburgNorth
MorelandC,CoburgNorth
SwanHillRC,Cocamba
LoddonS,CochranesCreek
CardiniaS,Cockatoo
WyndhamC,Cocoroc
MoyneS,Codrington
BallaratC,CoghillsCreek
GannawarraS,Cohuna
MooraboolS,Coimadai
BulokeS,Cokum
ColacOtwayS,Colac
TowongS,ColacColac
ColacOtwayS,ColacEast
ColacOtwayS,ColacWest
CampaspeS,Colbinabbin
MooraboolS,Colbrook
YarraRangesS,Coldstream
SouthernGrampiansS,Coleraine
MilduraRC,Colignan
YarraC,Collingwood
GreaterSheppartonC,Colliver
EastGippslandS,Combienbar
NorthernGrampiansS,Concongella
GlenelgS,Condah
MoyneS,CondahSwamp
GreaterSheppartonC,Congupna
GreaterGeelongC,Connewarre
SurfCoastS,Connewarre
WestWimmeraS,Connewirrecoo
SouthernGrampiansS,Coojar
HumeC,Coolaroo
GreaterSheppartonC,Cooma
GreaterSheppartonC,Coomboona
HepburnS,Coomoora
WellingtonS,Coongulla
BulokeS,CoonooerBridge
LoddonS,CoonooerBridge
NthnGrampiansS,CoonooerBridge
NthnGrampiansS,CoonooerWest
BawBawS,CoopersCreek
CorangamiteS,Cooriemungle
BulokeS,CopeCope
NorthernGrampiansS,CopeCope
CardiniaS,CoraLynn
BulokeS,Corack
BulokeS,CorackEast
ColacOtwayS,Coragulac
AlpineS,CoralBank
GoldenPlainsS,Corindhap
BassCoastS,Corinella
GreaterGeelongC,Corio
GlenelgS,Corndale
CampaspeS,Cornella
IndigoS,Cornishtown
BassCoastS,CoronetBay
CampaspeS,Corop
ColacOtwayS,Cororooke
EastGippslandS,Corringle
TowongS,Corryong
ColacOtwayS,Corunnun
GreaterSheppartonC,Cosgrove
GreaterSheppartonC,CosgroveSouth
GreaterBendigoC,Costerfield
BoroondaraC,Cotham
CentralGoldfieldsS,Cotswold
NillumbikS,CottlesBridge
WellingtonS,Cowa
MilduraRC,Cowangie
BassCoastS,Cowes
CorangamiteS,CowleysCreek
LatrobeC,Cowwarr
WellingtonS,Cowwarr
CentralGoldfieldsS,Craigie
HumeC,Craigieburn
CaseyC,Cranbourne
CaseyC,CranbourneEast
CaseyC,CranbourneNorth
CaseyC,CranbourneSouth
CaseyC,CranbourneWest
BenallaRC,CreekJunction
MansfieldS,CreekJunction
StrathbogieS,CreekJunction
CampaspeS,CreekView
StrathbogieS,Creighton
StrathbogieS,CreightonsCreek
YarraC,Cresmorne
ColacOtwayS,Cressy
CorangamiteS,Cressy
GoldenPlainsS,Cressy
BallaratC,Creswick
HepburnS,Creswick
HepburnS,CreswickNorth
MorningtonPeninsulaS,CribPoint
BaysideC,Cromer
WellingtonS,Crookayan
WellingtonS,CrookedRiver
PyreneesS,CrossRoads
MoyneS,Crossley
BawBawS,Crossover
AraratRC,Crowlands
NorthernGrampiansS,Crowlands
PyreneesS,Crowlands
SouthernGrampiansS,CroxtonEast
MaroondahC,Croydon
MaroondahC,CroydonHills
MaroondahC,CroydonNorth
MaroondahC,CroydonSouth
HindmarshS,Crymelon
YarriambiackS,Crymelon
MoyneS,Cudgee
TowongS,Cudgewa
BulokeS,Culgoa
SouthernGrampiansS,Culla
GannawarraS,Cullen
MilduraRC,Cullulleraine
ColacOtwayS,Cundare
ColacOtwayS,CundareNorth
CorangamiteS,CundareNorth
CorangamiteS,CurdieVale
MoyneS,CurdieVale
CorangamiteS,CurdiesRiver
GreaterGeelongC,Curlewis
BulokeS,Curyo
HorshamRC,DadswellsBridge
NthnGrampiansS,DadswellsBridge
CentralGoldfieldsS,DaisyHill
MooraboolS,DalesCreek
HumeC,Dallas
CardiniaS,Dalmore
GannawarraS,DaltonsBridge
NorthernGrampiansS,Dalyenong
BassCoastS,Dalyston
GreaterDandenongC,Dandenong
GrDandenongC,DandenongNorth
GrDandenongC,DandenongSouth
AlpineS,Dandongadale
AlpineS,Dargo
WellingtonS,Dargo
NorthernGrampiansS,Darkbonee
MooraboolS,Darley
LatrobeC,Darlimurla
SouthGippslandS,Darlimurla
CorangamiteS,Darlington
MoyneS,Darlington
BawBawS,Darnum
MacedonRangesS,DarraweitGuim
WellingtonS,Darriman
GlenelgS,Dartmoor
EastGippslandS,Dartmouth
TowongS,Dartmouth
WellingtonS,Dawson
HepburnS,Daylesford
HepburnS,Dean
SurfCoastS,DeansMarsh
EastGippslandS,DeddickValley
AlpineS,Dederang
NorthernGrampiansS,DeepLead
BrimbankC,DeerPark
BallaratC,Delacombe
BrimbankC,Delahey
MansfieldS,Delatite
BawBawS,Delburn
LatrobeC,Delburn
SouthGippslandS,Delburn
EastGippslandS,DelegateRiverEast
EastGippslandS,Dellicknora
BaysideC,Dendy
AraratRC,DenicullCreek
WellingtonS,Denison
MoyneS,Dennington
WarrnamboolC,Dennington
HepburnS,Denver
MacedonRangesS,Denver
EastGippslandS,Deptford
LoddonS,Derby
GoldenPlainsS,Dereel
